title,viewCount,publishedAt,duration
新衣装お披露目からまだ一週間ってマ？てんこ盛りの振り返り！【柚原いづみ / あにまーれ】,5307,2021-06-14T14:32:37Z,PT1H23M2S
【Knockout City】ペットボトルの蓋を外して残ったリング部分が気になりつつもドッジボールがしたい柚原いづみです【柚原いづみ / あにまーれ】,4657,2021-06-11T10:10:30Z,PT1H3M27S
【Lunch time】新衣装見せびらかしながらお昼ご飯！【柚原いづみ / あにまーれ】,11814,2021-06-07T05:08:58Z,PT1H55M6S
【NKODICE】昼間からお〇ん〇ん出そうとした結果【柚原いづみ / あにまーれ】,12101,2021-06-05T15:08:30Z,PT2M
【Knockout City】狂気！？#平泉まり で一乙飲酒ドッジ！！！【ヒラ / 兎鞠まり / 柚原いづみ】,9389,2021-06-04T13:56:17Z,PT1H44M43S
練習着は体操服！？お弁当おいしすぎ問題！柚原いづみ絶叫秘話【柚原いづみ / あにまーれ】,5717,2021-06-03T14:13:47Z,PT1H4M55S
【ミートピア(Miitopia)】美術1があにまーれメンバーをキャラメイク！後編【柚原いづみ / あにまーれ】,8704,2021-05-23T07:10:14Z,PT1H58M
【マリオカート８デラックス】#マリカ雑魚大戦 ｱｱｱｱｱｱｱｱｱｱｱｱｱｱそこどいてぇえええええええ【柚原いづみ / あにまーれ】,8384,2021-05-20T13:36:40Z,PT1H7M13S
㊗あにまーれ3周年記念イベント開催決定！！！【柚原いづみ / あにまーれ】,7492,2021-05-11T11:05:51Z,PT58M31S
㊗あにまーれ3周年記念イベント開催決定！！！【柚原いづみ / あにまーれ】,7492,2021-05-11T11:05:51Z,PT58M31S
窓も服も全全全開で寝たら普通に風邪ひいた【柚原いづみ / あにまーれ】,4098,2021-05-10T13:34:06Z,PT30M2S
【母の日】風見くくから母の日ギフト届いたｗｗｗ【柚原いづみ / あにまーれ】,10394,2021-05-09T14:07:01Z,PT1H1M43S
【#マイクラななし杯​】最終日！トライピオブランコで華やかに！【柚原いづみ / あにまーれ】,17067,2021-05-03T10:59:44Z,PT7H3M44S
【#ななしケーキ】食べる芸術！？似顔絵ホットケーキでアート対決！【因幡はねる / 白宮みみ / 飛良ひかり / 柚原いづみ】,10853,2021-05-02T07:12:02Z,PT1H43S
エアコン掃除のプロがすごい･･！！！【柚原いづみ / あにまーれ】,4174,2021-04-26T14:04:44Z,PT58M48S
【ベイブレード最新弾】DBシリーズ始動！ランブー25大量開封！！【兎鞠まり / 柚原いづみ】,9683,2021-04-25T11:10:34Z,PT1H2M51S
ベイブレードDB・ボトルマン最新弾で夜遊び♡【柚原いづみ / あにまーれ】,7630,2021-04-24T17:50:32Z,PT2H4M29S
【Stardew Valley】新シーズン！#まらいく 村に夏、到来【伊東ライフ / 兎鞠まり / 風見くく / 柚原いづみ】,20072,2021-04-24T14:46:08Z,PT1H33M44S
ベイブレードDB発売！深夜のベイブレードお片付け･･♡【柚原いづみ / あにまーれ】,9737,2021-04-23T20:13:46Z,PT4H45M28S
【星のカービィ3】ついにLEVEL5！？脳筋 VS 全肯定･･ﾌｧｲｯ！【風見くく / 柚原いづみ】,4177,2021-04-23T12:46:41Z,PT1H37M52S
【Minecraft】ウィザー討伐！スケルトンの頭でぇへんんんんｎ【島村シャルロット / 龍ヶ崎リン / 白宮みみ / 柚原いづみ】,4267,2021-04-22T12:34:43Z,PT1H27M54S
【Lunch time】今から休憩？お昼一緒してもいい？【柚原いづみ / あにまーれ】,3560,2021-04-19T04:00:33Z,PT55M48S
ｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ･･･ﾎﾟﾝｯ↑↑↑【柚原いづみ / あにまーれ】,6518,2021-04-18T14:18:19Z,PT1H7S
やーん！( ´•̥×•̥` )他の女の子と絡むのめっめっ( ´•̥×•̥` )！ぺちぺち！だめです！いづみだけ見てるっていったもーん！( ´•̥×•̥` )ぷー【柚原いづみ / あにまーれ】,9183,2021-04-17T20:03:07Z,PT4H43M17S
【#いづみの知らない世界​】センシチブお姉さん！？白雪巴の世界！【柚原いづみ / あにまーれ】,14938,2021-04-17T14:12:19Z,PT1H2M30S
深夜のおアソビ♡【柚原いづみ / あにまーれ】,6627,2021-04-16T19:22:27Z,PT3H54M2S
キラキラ素敵な金曜日！一緒にカレー食べよっ【柚原いづみ / あにまーれ】,3652,2021-04-16T13:56:30Z,PT52M47S
【ゲリラ配信】柚原いづみ、脱税じゃなかった！！！【柚原いづみ / あにまーれ】,4113,2021-04-16T01:14:28Z,PT48M29S
【朝ゲリラ配信】おはよーっ！今日もだいすきっ【柚原いづみ / あにまーれ】,5029,2021-04-15T22:17:49Z,PT1H15M36S
気付いたら夜になってた【柚原いづみ / あにまーれ】,3825,2021-04-15T15:26:27Z,PT2H18M2S
【星のカービィ3】征服まであと少し･･･【風見くく / 柚原いづみ】,5387,2021-04-14T12:52:46Z,PT1H45M30S
【MHR/モンハンライズ】初心者ハンター星3・4クエスト挑戦！†双剣のいづみ†【柚原いづみ / あにまーれ】,4290,2021-04-13T14:42:44Z,PT1H28M43S
【MHR/モンハンライズ】モンハン女子が大暴れ！？上位素材よこせえええ！！！【周防パトラ / 杏戸ゆげ / 小森めと / 柚原いづみ】,7198,2021-04-12T11:11:46Z,PT1H56M30S
【Stardew Valley】#まらいく が婚活！？4月最後の一大イベント！【伊東ライフ / 兎鞠まり / 風見くく / 柚原いづみ】,22029,2021-04-11T15:22:42Z,PT2H3M57S
【MHR/モンハンライズ】ミッション！龍ヶ崎リンと白宮みみを上位ハンターにせよ！！！【柚原いづみ / あにまーれ】,7661,2021-04-11T09:55:05Z,PT2H32M58S
深夜のおアソビ♡【柚原いづみ / あにまーれ】,5573,2021-04-10T17:25:42Z,PT1H17M10S
【#だら呑み​】だらっと女子呑み！春の酒ガチャ呑み比べ～課長プラン～【西園寺メアリ / 不磨わっと / 柚原いづみ】,11482,2021-04-10T14:49:11Z,PT1H31M12S
【ゲリラ歌枠】徹夜したテンションでアニソンちょっと歌う【柚原いづみ / あにまーれ】,4724,2021-04-10T02:12:44Z,PT44M10S
深夜のおアソビ♡【柚原いづみ / あにまーれ】,11664,2021-04-09T23:19:49Z,PT6H45M45S
【MHR/モンハンライズ】武器も防具も運しだい！？ルーレットモンスターハンターライズ！【柚原いづみ / あにまーれ】,5167,2021-04-09T14:54:58Z,PT1H39M48S
【MHR/モンハンライズ】ゴブスレ漫画家×遊戯王プロプレイヤー×あの風見くくとモンスターハンターライズ！【柚原いづみ / あにまーれ】,6833,2021-04-08T17:23:10Z,PT1H38M40S
やばい、もうすぐGW！企画考えよう！！！【柚原いづみ / あにまーれ】,4417,2021-04-08T12:17:59Z,PT1H1M25S
夕刻ロベルにセクハラまがいの暴露をする柚原いづみ【柚原いづみ / あにまーれ】,33220,2021-04-08T09:00:19Z,PT8M5S
【MHR/モンハンライズ】まりライフと一緒に瀬島るいを全力で姫プするモンスターハンターライズ！【柚原いづみ / あにまーれ】,7739,2021-04-07T16:11:42Z,PT2H18M40S
生き残りたい【柚原いづみ / あにまーれ】,9211,2021-04-07T12:06:13Z,PT54M49S
一般通過柚原いづみ【柚原いづみ / あにまーれ】,8614,2021-04-06T14:44:09Z,PT14S
【MHR/モンハンライズ】ベイ魔改造おじさんズとメタファイ漫画家とベイブレード大好きVtuberのモンスターハンターライズ！【柚原いづみ / あにまーれ】,7161,2021-04-06T13:44:08Z,PT1H58M28S
【MHR/モンハンライズ】初心者ハンター星2クエスト挑戦！†双剣のいづみ†【柚原いづみ / あにまーれ】,6669,2021-04-06T02:40:25Z,PT2H21M37S
【5万人記念】感謝と喜びのセレナーデ ～あんまり上手くないですね～【柚原いづみ / あにまーれ】,5239,2021-04-04T14:52:56Z,PT1H36M45S
【#無礼講コラボ】今夜は無礼講！？聞きたくても聞けなかった事ぶっちゃけ祭り！【島村シャルロット / 龍ヶ崎リン / 白宮みみ / 柚原いづみ】,17488,2021-04-03T14:51:51Z,PT1H23M51S
【MHR/モンハンライズ】タマミツネ装備が欲しい風見くくと白宮みみと柚原いづみのモンスターハンターライズ【柚原いづみ / あにまーれ】,12117,2021-04-02T18:50:08Z,PT3H26M56S
【星のカービィ3】この星の半分はいづくくが支配しました。【風見くく / 柚原いづみ】,3940,2021-04-02T12:40:00Z,PT1H31M10S
【初配信】はじめまして！カピバラの妖精いづみんですっ【柚原いづみ / あにまーれ】,6021,2021-04-01T14:41:58Z,PT27M40S
今年度も最終日！月末のファンサ雑談！【柚原いづみ / あにまーれ】,3449,2021-03-31T14:16:18Z,PT59M50S
浮かれすぎて究極の二日酔い【柚原いづみ / あにまーれ】,4423,2021-03-28T13:34:50Z,PT30M15S
【MHR/モンハンライズ】モンハン経験ゼロ！？双剣でじっくり狩猟生活！【柚原いづみ / あにまーれ】,5782,2021-03-26T17:29:08Z,PT2H3M16S
【MHR/モンハンライズ】最速スタート！？双剣でまりライフとハンターデビュー！【伊東ライフ / 兎鞠まり / 柚原いづみ】,10220,2021-03-25T17:03:45Z,PT1H50M58S
【ウマ娘 プリティーダービー】柚原いづみの生首はバグじゃありません、仕様です。【柚原いづみ / あにまーれ】,8914,2021-03-23T18:05:22Z,PT4H43M57S
【星のカービィ3】チュウできない世界は壊します【風見くく / 柚原いづみ】,4132,2021-03-23T12:13:40Z,PT1H3M23S
【#いづみの知らない世界】遊戯王プロプレイヤーは爆アド！？はみるとんの世界！【柚原いづみ / あにまーれ】,30673,2021-03-19T13:06:48Z,PT1H49S
【#ななし探索 / Minecraft】ウィザースケルトンを倒してビーコンを確保せよ！【柚原いづみ / あにまーれ】,3531,2021-03-18T15:37:07Z,PT1H26M
【速報】賃貸保証会社の審査結果きたぁああ！！！！！【柚原いづみ / あにまーれ】,7357,2021-03-18T12:07:20Z,PT56M54S
【#いづねるコラボ】因幡はねると柚原いづみが完全ノープラン！？【柚原いづみ / あにまーれ】,21883,2021-03-17T14:54:36Z,PT1H43M54S
【#いづみの知らない世界​】ド〇ンゴ退職して銀盾YouTuberに！？アイアムマンの世界！【柚原いづみ / あにまーれ】,9692,2021-03-15T13:10:37Z,PT1H4M2S
【Stardew Valley】NTR事案！？#まらいく​​ 村でパートナー争奪戦！【伊東ライフ / 兎鞠まり / 風見くく / 柚原いづみ】,24455,2021-03-14T15:17:51Z,PT1H55M26S
【ロックマンエグゼ6】#7 ついに最終回！？クロス縛りで世界を救え！【柚原いづみ / あにまーれ】,6394,2021-03-13T20:24:11Z,PT5H6M57S
個性豊か！？レンタルショーケース楽しすぎぃ！！！【柚原いづみ / あにまーれ】,5380,2021-03-13T14:09:00Z,PT1H4M2S
【ゲリラ雑談】完　全　復　活！！！【柚原いづみ / あにまーれ】,5547,2021-03-12T12:10:23Z,PT36M6S
伊東ライフ・兎鞠まり・風見くく・柚原いづみが2週間共同生活！？【柚原いづみ / あにまーれ】,18131,2021-03-11T13:00:18Z,PT8M30S
【雑談/ベイブレード超王】朝までベイブレード最終夜！【柚原いづみ / あにまーれ】,6141,2021-03-10T21:06:52Z,PT5H43M24S
【ベイブレード超王】朝まで！？ファーストウラヌス・キングヘリオス遊び尽くす！【柚原いづみ / あにまーれ】,6786,2021-03-09T20:08:50Z,PT4H36M49S
【ロックマンエグゼ6】#6 ネットの闇！？裏インターネットの真実【柚原いづみ / あにまーれ】,4583,2021-03-09T14:28:56Z,PT3H8M44S
【ベイブレード超王】リヴァイブフェニックス・マスターディアボロス遊び尽くす！【柚原いづみ / あにまーれ】,9619,2021-03-08T20:45:06Z,PT5H20M52S
【ロックマンエグゼ6】#5 天候をプログラムが操作する世界！？【柚原いづみ / あにまーれ】,4739,2021-03-08T14:37:37Z,PT3H17M34S
【ゲリラ雑談】せや！しゃべろ！/ Morning Talk【柚原いづみ / あにまーれ】,5612,2021-03-08T00:18:52Z,PT1H31M58S
【Stardew Valley】風見くく争奪戦！？#まらいく​ 村のエッグフェスティバル！【伊東ライフ / 兎鞠まり / 風見くく / 柚原いづみ】,32231,2021-03-07T15:17:08Z,PT1H54M11S
【ベイブレード超王】深夜に現れる妖怪ベイ回し･･【柚原いづみ / あにまーれ】,12755,2021-03-06T21:42:40Z,PT6H21M28S
【ベイブレード開封】シリーズ集大成！？超豪華ランブー24大量開封【柚原いづみ / 兎鞠まり】,10412,2021-03-06T13:13:02Z,PT1H6M22S
【切り抜き/Among Us】自ら企画したコラボで即落ち2コマ！？【柚原いづみ / あにまーれ】,5626,2021-03-06T10:00:15Z,PT9M46S
【ロックマンエグゼ6】#4 裁判長が敵！？それでも私はやってない！【柚原いづみ / あにまーれ】,4593,2021-03-05T18:49:41Z,PT3H33M5S
確定申告終わった！洗濯物飛んでった！？酒盛りじゃぁああ！！！【柚原いづみ / あにまーれ】,3180,2021-03-05T14:17:09Z,PT1H2M40S
【ウマ娘 プリティーダービー】初ウマ娘！カピバラ大爆走！？【柚原いづみ / あにまーれ】,9752,2021-03-03T14:55:00Z,PT1H24M21S
【AmongUs / 宇宙人狼】#異色あもあす 女だらけの騙し合い！？【柚原いづみ / あにまーれ】,8629,2021-03-02T13:52:11Z,PT1H39M13S
【マリオカート８デラックス】#王様マリカ 生首通りまぁあああああす！！！【柚原いづみ / あにまーれ】,11428,2021-03-01T14:35:11Z,PT1H24M5S
【速報】タカラトミーさんから連絡きたぁああ！！！【柚原いづみ / あにまーれ】,12743,2021-03-01T12:03:30Z,PT58M18S
【Stardew Valley】開墾から！？#まらいく 村が始動！【伊東ライフ / 兎鞠まり / 風見くく / 柚原いづみ】,48177,2021-02-28T15:17:30Z,PT1H55M40S
【ロックマンエグゼ6】#3 電脳世界に悪霊！？サーカスマンを蹴散らせ！【柚原いづみ / あにまーれ】,6198,2021-02-27T19:30:42Z,PT4H10M13S
あまりにも敗北を知りすぎてギャン泣きするカピバラ【柚原いづみ / あにまーれ】,6906,2021-02-27T13:09:13Z,PT1H35S
【切り抜き/炎上】1周年&2.0お披露目でサムネ詐欺疑惑！？【柚原いづみ / あにまーれ】,4625,2021-02-27T10:00:15Z,PT8M19S
【ゲリラ】ダイパリメイク決定！？ベイブレード発売日！【柚原いづみ / あにまーれ】,3987,2021-02-27T00:06:50Z,PT47M27S
【小料理いづみ屋】今週もおつかれさま！一杯いかが？【柚原いづみ / あにまーれ】,3453,2021-02-26T12:15:04Z,PT59M37S
【ロックマンエグゼ6】#2 水族館で大暴れ！？いざシーサイドタウンへ！【柚原いづみ / あにまーれ】,5409,2021-02-25T14:17:33Z,PT2H53M38S
【ロックマンエグゼ6】#1 シリーズ完結作！電脳獣ファルザーに挑むカピバラ【柚原いづみ / あにまーれ】,9890,2021-02-24T16:36:37Z,PT3H21M32S
【ゲリラ】2.0でお喋りしませんか？【柚原いづみ / あにまーれ】,6196,2021-02-23T13:09:23Z,PT1H21S
【#いづくく1周年​】地獄配信！？初心に戻って初配信振返り【風見くく / 柚原いづみ / あにまーれ】,13997,2021-02-22T14:14:12Z,PT1H2M56S
【#柚原いづみ2】揺れる！？2.0お披露目！【柚原いづみ / あにまーれ】,13293,2021-02-22T12:04:58Z,PT30M36S
【#いづくく1周年】重大発表も！？1周年カウントダウン！【風見くく / 柚原いづみ / あにまーれ】,12625,2021-02-21T15:35:56Z,PT59M35S
露骨な新人いびりをはじめる柚原いづみ【柚原いづみ / あにまーれ】,20744,2021-02-20T10:00:19Z,PT8M37S
【#ななし探索​】それいけ経験値！エンチャントでつよつよ装備に！【島村シャルロット / 龍ヶ崎リン / 白宮みみ / 柚原いづみ】,5169,2021-02-19T14:07:59Z,PT1H52M24S
【Minecraft】金銀財宝ざっくざく！？あたらしい採掘所づくり！【柚原いづみ / あにまーれ】,3773,2021-02-18T15:23:15Z,PT1H8M13S
めっちゃアイドル【柚原いづみ / あにまーれ】,6937,2021-02-17T14:04:44Z,PT55M49S
あっぷっPUI！てもて【柚原いづみ / あにまーれ】,5177,2021-02-16T15:47:16Z,PT11S
マイモルカーでPUI PUIしたかった･･･【柚原いづみ / あにまーれ】,5331,2021-02-16T15:39:47Z,PT14S
ポジティブすぎて気づかへんかったけど･･【柚原いづみ / あにまーれ】,5606,2021-02-16T14:14:09Z,PT1H3M43S
【#子いづみチョコ選手権】立場逆転！？バレンタインチョコ選手権！【柚原いづみ / あにまーれ】,7164,2021-02-14T16:03:05Z,PT2H47M10S
【切り抜き/炎上/事故】Vtuberの自作RPGがクソゲーすぎて30分でサービス終了！？【柚原いづみ / あにまーれ】,7478,2021-02-13T10:00:16Z,PT8M45S
ついにお引越し！？期待と不安･･【柚原いづみ / あにまーれ】,4771,2021-02-12T14:27:26Z,PT1H7M12S
